Type	ECNumber	Substrate	EnzymeType	PubMedID	Organism	UniprotID	Value	Unit
kcat	5.1.1.3	L-Glutamate	D10N	11371180	Lactobacillus fermentum	Q03469	0.068	s^(-1)
kcat	5.1.1.3	L-Glutamate	D36N	11371180	Lactobacillus fermentum	Q03469	22.0	s^(-1)
kcat	5.1.1.3	L-Glutamate	E152Q	11371180	Lactobacillus fermentum	Q03469	38.0	s^(-1)
kcat	5.1.1.3	L-Glutamate	H186N	11371180	Lactobacillus fermentum	Q03469	0.093	s^(-1)
kcat	5.1.1.3	D-Glutamate	wildtype	8385993	Lactobacillus fermentum	Q03469	76.0	s^(-1)
kcat	5.1.1.3	L-Glutamate	wildtype	8385993	Lactobacillus fermentum	Q03469	69.0	s^(-1)
kcat	5.1.1.3	L-Glutamate	wildtype	17610893	Bacillus anthracis	Q81LA8	38.0	s^(-1)
kcat	5.1.1.3	D-Glutamate	wildtype	17610893	Bacillus anthracis	Q81LA8	1.6	s^(-1)
kcat	5.1.1.3	L-Glutamate	wildtype	17610893	Bacillus anthracis	Q81UL8	17.7	s^(-1)
kcat	5.1.1.3	D-Glutamate	wildtype	17610893	Bacillus anthracis	Q81UL8	2.8	s^(-1)
kcat	5.1.1.3	D-Glutamate	V149A	17610893	Bacillus anthracis	Q81LA8	4.9	s^(-1)
kcat	5.1.1.3	L-Glutamate	V149A	17610893	Bacillus anthracis	Q81LA8	67.0	s^(-1)
kcat	2.3.1.38	Acetyl-CoA	wildtype	11570897	Streptomyces collinus		0.05083333	s^(-1)
kcat	2.3.1.38	Acetyl-CoA	wildtype	11570897	Streptomyces collinus		0.0225	s^(-1)
kcat	2.3.1.38	Acetoacetyl-CoA	wildtype	11570897	Streptomyces collinus		40.06667	s^(-1)
kcat	2.3.1.38	Coenzyme A	wildtype	11570897	Streptomyces collinus		40.06667	s^(-1)
kcat	2.3.1.38	Acetoacetyl-CoA	C92S	11570897	Streptomyces collinus		0.07733333	s^(-1)
kcat	2.3.1.38	Coenzyme A	C92S	11570897	Streptomyces collinus		0.07733333	s^(-1)
kcat	2.3.1.38	Coenzyme A	wildtype	11570897	Streptomyces collinus		36.16667	s^(-1)
kcat	2.3.1.38	Acetoacetyl-CoA	wildtype	11570897	Streptomyces collinus		36.16667	s^(-1)
kcat	1.4.3.1	L-Aspartate	wildtype	16751595	Homo sapiens	Q99489	46.66667	s^(-1)
kcat	1.4.3.1	D-Aspartate	wildtype	17140416	Caenorhabditis elegans	O45307	4.29	s^(-1)
kcat	1.4.3.1	D-Aspartate	wildtype	17140416	Caenorhabditis elegans	Q19564	3.07	s^(-1)
kcat	1.4.3.1	D-Glutamate	wildtype	17140416	Caenorhabditis elegans	Q19564	2.11	s^(-1)
kcat	1.4.3.1	D-Glutamate	wildtype	17140416	Caenorhabditis elegans	O45307	5.31	s^(-1)
kcat	1.4.3.1	N-Methyl-D-aspartic acid	wildtype	17140416	Caenorhabditis elegans	O45307	6.13	s^(-1)
kcat	1.4.3.1	N-Methyl-D-aspartic acid	wildtype	17140416	Caenorhabditis elegans	Q19564	3.0	s^(-1)
kcat	1.4.3.1	D-Aspartate	wildtype	20564561	Caenorhabditis elegans	O45307	26.1	s^(-1)
kcat	1.4.3.1	D-Aspartate	wildtype	20564561	Caenorhabditis elegans	Q19564	9.49	s^(-1)
kcat	1.4.3.1	D-Aspartate	wildtype	20564561	Caenorhabditis elegans	O01739	2.51	s^(-1)
kcat	1.4.3.1	D-Aspartate	wildtype	20564561	Homo sapiens	Q99489	70.6	s^(-1)
kcat	1.4.3.1	D-Glutamate	wildtype	20564561	Caenorhabditis elegans	O45307	35.4	s^(-1)
kcat	1.4.3.1	D-Glutamate	wildtype	20564561	Caenorhabditis elegans	Q19564	3.01	s^(-1)
kcat	1.4.3.1	D-Glutamate	wildtype	20564561	Caenorhabditis elegans	O01739	0.76	s^(-1)
kcat	1.4.3.1	D-Glutamate	wildtype	20564561	Homo sapiens	Q99489	5.54	s^(-1)
kcat	1.4.3.1	N-Methyl-D-aspartic acid	wildtype	20564561	Caenorhabditis elegans	O45307	84.5	s^(-1)
kcat	1.4.3.1	N-Methyl-D-aspartic acid	wildtype	20564561	Caenorhabditis elegans	Q19564	6.04	s^(-1)
kcat	1.4.3.1	N-Methyl-D-aspartic acid	wildtype	20564561	Caenorhabditis elegans	O01739	1.52	s^(-1)
kcat	1.4.3.1	N-Methyl-D-aspartic acid	wildtype	20564561	Homo sapiens	Q99489	48.8	s^(-1)
kcat	6.3.1.8	Spermidine	wildtype	15537651	Crithidia fasciculata	P90518	4.2	s^(-1)
kcat	6.3.1.8	Reduced glutathione	wildtype	15537651	Crithidia fasciculata	P90518	4.2	s^(-1)
kcat	6.3.1.8	ATP	wildtype	15537651	Crithidia fasciculata	P90518	4.2	s^(-1)
kcat	2.2.1.1	D-Ribose 5-phosphate	wildtype	9398292	Saccharomyces cerevisiae	P23254	46.3	s^(-1)
kcat	2.2.1.1	D-Xylulose 5-phosphate	wildtype	9398292	Saccharomyces cerevisiae	P23254	46.3	s^(-1)
kcat	2.2.1.1	Thiamine diphosphate	wildtype	9398292	Saccharomyces cerevisiae	P23254	46.3	s^(-1)
kcat	2.2.1.1	Thiamine diphosphate	H30A	9398292	Saccharomyces cerevisiae	P23254	0.69	s^(-1)
kcat	2.2.1.1	D-Ribose 5-phosphate	H30A	9398292	Saccharomyces cerevisiae	P23254	0.69	s^(-1)
kcat	2.2.1.1	D-Xylulose 5-phosphate	H30A	9398292	Saccharomyces cerevisiae	P23254	0.69	s^(-1)
kcat	2.2.1.1	Thiamine diphosphate	H30N	9398292	Saccharomyces cerevisiae	P23254	0.09	s^(-1)
kcat	2.2.1.1	D-Xylulose 5-phosphate	H69A	9398292	Saccharomyces cerevisiae	P23254	0.69	s^(-1)
kcat	2.2.1.1	Thiamine diphosphate	H69A	9398292	Saccharomyces cerevisiae	P23254	0.69	s^(-1)
kcat	2.2.1.1	D-Ribose 5-phosphate	H69A	9398292	Saccharomyces cerevisiae	P23254	0.69	s^(-1)
kcat	2.2.1.1	D-Ribose 5-phosphate	H263A	9398292	Saccharomyces cerevisiae	P23254	0.23	s^(-1)
kcat	2.2.1.1	Thiamine diphosphate	H263A	9398292	Saccharomyces cerevisiae	P23254	0.23	s^(-1)
kcat	2.2.1.1	D-Xylulose 5-phosphate	H263A	9398292	Saccharomyces cerevisiae	P23254	0.23	s^(-1)
kcat	2.2.1.1	D-Ribose 5-phosphate	H481A	9398292	Saccharomyces cerevisiae	P23254	2.04	s^(-1)
kcat	2.2.1.1	Thiamine diphosphate	H481A	9398292	Saccharomyces cerevisiae	P23254	2.04	s^(-1)
kcat	2.2.1.1	D-Xylulose 5-phosphate	H481A	9398292	Saccharomyces cerevisiae	P23254	2.04	s^(-1)
kcat	2.2.1.1	D-Xylulose 5-phosphate	H481Q	9398292	Saccharomyces cerevisiae	P23254	0.88	s^(-1)
kcat	2.2.1.1	Thiamine diphosphate	H481Q	9398292	Saccharomyces cerevisiae	P23254	0.88	s^(-1)
kcat	2.2.1.1	Thiamine diphosphate	H481S	9398292	Saccharomyces cerevisiae	P23254	2.54	s^(-1)
kcat	2.2.1.1	D-Xylulose 5-phosphate	H481S	9398292	Saccharomyces cerevisiae	P23254	2.54	s^(-1)
kcat	2.2.1.1	D-Xylulose 5-phosphate	wildtype	9523694	Spinacia oleracea	O20250	0.0186	s^(-1)
kcat	2.2.1.1	D-Ribose 5-phosphate	wildtype	9523694	Spinacia oleracea	O20250	0.0148	s^(-1)
kcat	1.2.1.77	3,4-Dehydroadipyl-CoA semialdehyde	wildtype	16585753	Azoarcus evansii	Q84HH8	45.0	s^(-1)
kcat	1.2.1.77	NADP+	wildtype	16585753	Azoarcus evansii	Q84HH8	45.0	s^(-1)
kcat	2.7.4.9	ATP	wildtype	11369858	Mycobacterium tuberculosis	P9WKE1	4.5	s^(-1)
kcat	2.7.4.9	dTMP	wildtype	11369858	Mycobacterium tuberculosis	P9WKE1	4.5	s^(-1)
kcat	2.7.4.9	dTMP	wildtype	11369858	Escherichia coli	P0A720	10.5	s^(-1)
kcat	2.7.4.9	ATP	wildtype	11369858	Escherichia coli	P0A720	10.5	s^(-1)
kcat	2.7.4.21	myo-Inositol hexakisphosphate	wildtype	17690096	Homo sapiens	Q6PFW1	0.00011	s^(-1)
kcat	2.7.4.21	myo-Inositol hexakisphosphate	wildtype	17690096	Mus musculus	Q6ZQB6	0.0053	s^(-1)
kcat	2.7.4.21	myo-Inositol hexakisphosphate	wildtype	17690096	Homo sapiens	O43314	0.00106	s^(-1)
kcat	2.7.4.21	myo-Inositol hexakisphosphate	wildtype	17690096	Homo sapiens	Q6PFW1	0.0005	s^(-1)
kcat	2.7.4.21	5-PP-InsP5	wildtype	17690096	Homo sapiens	Q6PFW1	0.0004	s^(-1)
kcat	2.7.4.21	5-PP-InsP5	wildtype	17690096	Mus musculus	Q6ZQB6	0.0163	s^(-1)
kcat	2.7.4.21	5-PP-InsP5	wildtype	17690096	Homo sapiens	O43314	0.0038	s^(-1)
kcat	2.7.4.21	5-PP-InsP5	wildtype	17690096	Homo sapiens	Q6PFW1	0.00123	s^(-1)
kcat	4.3.1.24	L-Phenylalanine	wildtype	12071972	Petroselinum crispum	P24481	13.5	s^(-1)
kcat	4.3.1.24	L-Phenylalanine	S203A	12071972	Petroselinum crispum	P24481	0.031	s^(-1)
kcat	4.3.1.24	L-Phenylalanine	R354A	12071972	Petroselinum crispum	P24481	0.104	s^(-1)
kcat	4.3.1.24	L-Phenylalanine	Y351F	12071972	Petroselinum crispum	P24481	0.057	s^(-1)
kcat	4.3.1.24	L-Phenylalanine	N260A	12071972	Petroselinum crispum	P24481	0.005	s^(-1)
kcat	4.3.1.24	L-Phenylalanine	Q348A	12071972	Petroselinum crispum	P24481	0.0057	s^(-1)
kcat	4.3.1.24	L-Phenylalanine	F400A	12071972	Petroselinum crispum	P24481	0.039	s^(-1)
kcat	4.3.1.24	L-Phenylalanine	Q488A	12071972	Petroselinum crispum	P24481	0.022	s^(-1)
kcat	4.3.1.24	L-Phenylalanine	Q488E	12071972	Petroselinum crispum	P24481	2.1	s^(-1)
kcat	4.3.1.24	L-Phenylalanine	L318H	12071972	Petroselinum crispum	P24481	0.99	s^(-1)
kcat	4.3.1.24	L-Phenylalanine	L138H/Q488E	12071972	Petroselinum crispum	P24481	0.093	s^(-1)
kcat	4.3.1.24	L-Phenylalanine	wildtype	17240984	Anabaena variabilis		4.3	s^(-1)
kcat	4.3.1.24	L-Phenylalanine	wildtype	17240984	Nostoc punctiforme	B2J528	1.96	s^(-1)
kcat	4.3.1.24	L-Phenylalanine	L108A	17240984	Anabaena variabilis		3.6	s^(-1)
kcat	4.3.1.24	L-Phenylalanine	L108G	17240984	Anabaena variabilis		0.95	s^(-1)
kcat	4.3.1.24	L-Phenylalanine	wildtype	19725811	Nicotiana tabacum	P25872	1.09	s^(-1)
kcat	4.3.1.24	L-Phenylalanine	wildtype	19725811	Nicotiana tabacum	P35513	1.14	s^(-1)
kcat	4.3.1.24	L-Phenylalanine	wildtype	19725811	Nicotiana tabacum	P45733	0.78	s^(-1)
kcat	4.3.1.24	L-Phenylalanine	wildtype	19725811	Nicotiana tabacum	C6ZIA5	1.53	s^(-1)
kcat	4.3.1.24	L-Phenylalanine	wildtype	19725811	Nicotiana tabacum	P25872	1.12	s^(-1)
kcat	4.3.1.24	L-Phenylalanine	wildtype	19725811	Nicotiana tabacum	P35513	1.35	s^(-1)
kcat	4.3.1.24	L-Phenylalanine	wildtype	19725811	Nicotiana tabacum	P25872 P35513 P25872	1.26	s^(-1)
kcat	4.3.1.24	L-Phenylalanine	wildtype	19725811	Nicotiana tabacum	P25872 P35513 P25872	0.58	s^(-1)
kcat	4.3.1.24	L-Phenylalanine	wildtype	17185227	Rhodobacter sphaeroides	Q3IWB0	2.1	s^(-1)
kcat	4.3.1.24	L-Phenylalanine	F144H	17185227	Arabidopsis thaliana	P35510	47.3	s^(-1)
kcat	4.3.1.24	L-Phenylalanine	H89F	17185227	Rhodobacter sphaeroides	Q3IWB0	24.0	s^(-1)
kcat	4.3.1.24	L-Phenylalanine	wildtype	17185227	Arabidopsis thaliana	P35510	115.8	s^(-1)
kcat	4.3.1.24	L-Phenylalanine	H89Q	17185227	Rhodobacter sphaeroides	Q3IWB0	26.2	s^(-1)
kcat	4.3.1.24	L-Phenylalanine	H89N	17185227	Rhodobacter sphaeroides	Q3IWB0	1.03	s^(-1)
kcat	4.3.1.24	L-Phenylalanine	H89A	17185227	Rhodobacter sphaeroides	Q3IWB0	0.18	s^(-1)
kcat	4.3.1.24	L-Phenylalanine	H89W	17185227	Rhodobacter sphaeroides	Q3IWB0	0.19	s^(-1)
kcat	4.3.1.24	L-Phenylalanine	wildtype	15276452	Arabidopsis thaliana	P35510	1.8	s^(-1)
kcat	4.3.1.24	L-Phenylalanine	wildtype	15276452	Arabidopsis thaliana	P45724	3.2	s^(-1)
kcat	4.3.1.24	L-Phenylalanine	wildtype	15276452	Arabidopsis thaliana	P45725	0.1	s^(-1)
kcat	4.3.1.24	L-Phenylalanine	wildtype	15276452	Arabidopsis thaliana	Q9SS45	3.0	s^(-1)
kcat	4.3.1.24	L-Phenylalanine	wildtype	20354908	Bambusa oldhamii	Q6ST23	10.11	s^(-1)
kcat	4.3.1.24	L-Phenylalanine	wildtype	20064614	Bambusa oldhamii	C0LL35	16.04	s^(-1)
kcat	4.3.1.20	erythro-3-Hydroxy-L-aspartate	wildtype	20843822	Delftia sp.	B2DFG5	8.68	s^(-1)
kcat	3.1.4.3	Phosphatidylcholine	wildtype	9300081	Bacillus cereus	P09598	1000.0	s^(-1)
kcat	3.1.4.3	Phosphatidylethanolamine	wildtype	9300081	Bacillus cereus	P09598	540.0	s^(-1)
kcat	3.1.4.3	Phosphatidylserine	wildtype	9300081	Bacillus cereus	P09598	210.0	s^(-1)
kcat	1.1.1.179	D-Xylose	wildtype	2327952	Sus scrofa	Q9TV69	58.0	s^(-1)
kcat	1.1.1.179	D-Ribose	wildtype	2327952	Sus scrofa	Q9TV69	40.0	s^(-1)
kcat	1.1.1.179	L-Arabinose	wildtype	2327952	Sus scrofa	Q9TV69	45.0	s^(-1)
kcat	1.1.1.179	2-Deoxy-D-glucose	wildtype	2327952	Sus scrofa	Q9TV69	22.0	s^(-1)
kcat	1.1.1.179	D-Glucose	wildtype	2327952	Sus scrofa	Q9TV69	16.0	s^(-1)
kcat	1.1.1.179	D-Galactose	wildtype	2327952	Sus scrofa	Q9TV69	12.0	s^(-1)
kcat	1.1.1.179	D-Arabinose	wildtype	2327952	Sus scrofa	Q9TV69	9.0	s^(-1)
kcat	1.1.1.179	D-Xylose	wildtype	23063486	Arthrobacter nicotinovorans	Q8GAK6	14.9	s^(-1)
kcat	1.1.1.179	NADP+	wildtype	23063486	Arthrobacter nicotinovorans	Q8GAK6	10.5	s^(-1)
kcat	1.1.1.179	D-Galactose	wildtype	18031347	Trichoderma reesei	A0A024SMV2	8.9	s^(-1)
kcat	1.1.1.179	D-Xylose	wildtype	18031347	Trichoderma reesei	A0A024SMV2	21.8	s^(-1)
kcat	1.1.1.179	D-Arabinose	wildtype	18031347	Trichoderma reesei	A0A024SMV2	4.4	s^(-1)
kcat	1.1.1.179	D-Glucose	wildtype	18031347	Trichoderma reesei	A0A024SMV2	5.7	s^(-1)
kcat	1.1.1.179	D-Ribose	wildtype	18031347	Trichoderma reesei	A0A024SMV2	6.2	s^(-1)
kcat	1.1.1.179	L-Arabinose	wildtype	18031347	Trichoderma reesei	A0A024SMV2	5.1	s^(-1)
kcat	1.14.11.31	Thebaine	wildtype	20228795	Papaver somniferum	D4N500	0.017	s^(-1)
kcat	1.14.11.31	Oripavine	wildtype	20228795	Papaver somniferum	D4N500	0.0191	s^(-1)
kcat	1.14.11.31	2-Oxoglutarate	wildtype	20228795	Papaver somniferum	D4N500	0.0081	s^(-1)
kcat	7.6.2.5	ATP	wildtype	33007128	Homo sapiens	Q9NP58	0.12	s^(-1)
kcat	7.1.2.2	ATP	Y345W	15640141	Saccharomyces cerevisiae		300.0	s^(-1)
kcat	4.2.1.1	CO2	Q158A	15081890	Arabidopsis thaliana		139000.0	s^(-1)
kcat	4.2.1.1	CO2	Y212F	12147257	Arabidopsis thaliana		161000.0	s^(-1)
kcat	4.2.1.1	CO2	wildtype	4210017	Spinacia oleracea	P16016	532000.0	s^(-1)
kcat	4.2.1.1	Dihydrogen carbonate	wildtype	7947805	Spinacia oleracea	P16016	115000.0	s^(-1)
kcat	4.2.1.1	CO2	wildtype	18336313	Homo sapiens	Q8N1Q1	150000.0	s^(-1)
kcat	4.2.1.1	CO2	wildtype	18336313	Mus musculus	Q99N23	470000.0	s^(-1)
kcat	4.2.1.1	CO2	wildtype	20061162	Candida albicans	Q5AJ71	2010000.0	s^(-1)
kcat	4.2.1.1	CO2	wildtype	20061162	Cryptococcus neoformans	Q3I4V7	680000.0	s^(-1)
kcat	1.2.3.3	Pyruvate	wildtype	9582325	Lactobacillus plantarum	P37063	17.9	s^(-1)
kcat	1.2.3.3	2,6-Dichloroindophenol	wildtype	9582325	Lactobacillus plantarum	P37063	17.9	s^(-1)
kcat	1.2.3.3	Phosphate	wildtype	9582325	Lactobacillus plantarum	P37063	17.9	s^(-1)
kcat	1.2.3.3	O2	wildtype	9582325	Lactobacillus plantarum	P37063	9.6	s^(-1)
kcat	5.3.3.1	Androst-5-ene-3,17-dione	wildtype	12852789	Comamonas testosteroni	P00947	32000.0	s^(-1)
kcat	5.3.3.1	Androst-5-ene-3,17-dione	P39A	12852789	Comamonas testosteroni	P00947	475.0	s^(-1)
kcat	5.3.3.1	Androst-5-ene-3,17-dione	P39G	12852789	Comamonas testosteroni	P00947	33.0	s^(-1)
kcat	5.3.3.1	NADH	wildtype	12832414	Homo sapiens	P14060	0.5816667	s^(-1)
kcat	5.3.3.1	NADPH	D36A/K37R	12832414	Homo sapiens	P14060	0.1883333	s^(-1)
kcat	5.3.3.1	Androst-5-ene-3,17-dione	wildtype	12832414	Homo sapiens	P14060	0.5566667	s^(-1)
kcat	5.3.3.1	Androst-5-ene-3,17-dione	D36A	12832414	Homo sapiens	P14060	0.1766667	s^(-1)
kcat	5.3.3.1	Androst-5-ene-3,17-dione	D241N	12832414	Homo sapiens	P14060	0.4816667	s^(-1)
kcat	5.3.3.1	Androst-5-ene-3,17-dione	D265N	12832414	Homo sapiens	P14060	0.295	s^(-1)
kcat	5.3.3.1	NADH	D241N	12832414	Homo sapiens	P14060	0.4416667	s^(-1)
kcat	5.3.3.1	NADH	D265N	12832414	Homo sapiens	P14060	0.2416667	s^(-1)
kcat	4.1.2.49	L-allo-Threonine	wildtype	19883126	Escherichia coli	P0A825	0.5	s^(-1)
kcat	4.1.2.49	L-allo-Threonine	Y55F	19883126	Escherichia coli	P0A825	0.02	s^(-1)
kcat	4.1.2.49	L-allo-Threonine	R235K	19883126	Escherichia coli	P0A825	0.0025	s^(-1)
kcat	4.1.2.49	L-allo-Threonine	R235Q	19883126	Escherichia coli	P0A825	0.003333333	s^(-1)
kcat	4.1.2.49	L-allo-Threonine	wildtype	3891721	Escherichia coli	P0A825	0.5	s^(-1)
kcat	2.3.1.286	acetylated Acetyl-CoA synthetase	wildtype	21627103	Mycobacterium tuberculosis	P9WGG3 P9WQD1	0.02	s^(-1)
kcat	2.3.1.286	NAD+	wildtype	21627103	Mycobacterium tuberculosis	P9WQD1 P9WGG3	0.02	s^(-1)
kcat	2.3.1.286	acetylated Histone H3-peptide	wildtype	18729382	Plasmodium falciparum	C6KT19 Q8IE47	0.00025	s^(-1)
kcat	2.3.1.286	Nicotinamide	wildtype	18729382	Plasmodium falciparum	Q8IE47 C6KT19	0.025	s^(-1)
kcat	2.3.1.286	acetylated Histone H3-peptide	wildtype	18729382	Plasmodium falciparum	Q8IE47 C6KT19	0.0019	s^(-1)
kcat	2.3.1.286	Thionicotinamide	wildtype	18729382	Plasmodium falciparum	Q8IE47 C6KT19	0.006	s^(-1)
kcat	2.3.1.286	acetylated Histone H4-peptide	wildtype	18729382	Plasmodium falciparum	Q8IIV2 Q8IE47	0.0022	s^(-1)
kcat	2.3.1.286	acetylated p300-peptide	wildtype	18729382	Plasmodium falciparum	Q09472 Q8IE47	0.00092	s^(-1)
kcat	2.3.1.286	Nicotinamide	wildtype	18729382	Plasmodium falciparum	Q09472 Q8IE47	0.064	s^(-1)
kcat	2.3.1.286	acetylated p300-peptide	wildtype	18729382	Plasmodium falciparum	Q8IE47 Q09472	0.0034	s^(-1)
kcat	2.1.1.128	S-Adenosyl-L-methionine	wildtype	14675446	Papaver somniferum	Q6WUC1	0.08	s^(-1)
kcat	2.1.1.128	(R,S)-Norcoclaurine	wildtype	14675446	Papaver somniferum	Q6WUC1	0.08	s^(-1)
kcat	2.1.1.128	(R)-Norprotosinomenine	wildtype	14675446	Papaver somniferum	Q6WUC1	0.02	s^(-1)
kcat	2.1.1.128	(S)-Norprotosinomenine	wildtype	14675446	Papaver somniferum	Q6WUC1	0.02	s^(-1)
kcat	2.1.1.128	(R,S)-Isoorientaline	wildtype	14675446	Papaver somniferum	Q6WUC1	0.03	s^(-1)
kcat	4.1.1.64	Pyridoxal phosphate	wildtype	15109259	Burkholderia cepacia	P16932	10.4	s^(-1)
kcat	4.1.1.64	2-Amino-2-methylpropanoate	wildtype	15109259	Burkholderia cepacia	P16932	10.4	s^(-1)
kcat	4.1.1.64	2-Amino-2-methylpropanoate	wildtype	9548963	Burkholderia cepacia	P16932	13.1	s^(-1)
kcat	4.2.3.124	D-Glucose 6-phosphate	wildtype	10344560	Bacillus circulans	Q9S5E2	0.073	s^(-1)
kcat	4.2.3.124	NAD+	wildtype	10344560	Bacillus circulans	Q9S5E2	0.073	s^(-1)
kcat	1.14.13.22	NADPH	wildtype	15153101	Pseudomonas fluorescens		14.0	s^(-1)
kcat	1.14.13.22	NADH	wildtype	15153101	Pseudomonas fluorescens		1.4	s^(-1)
kcat	1.14.13.22	NADPH	K326A	15153101	Pseudomonas fluorescens		3.7	s^(-1)
kcat	1.14.13.22	NADH	K326A	15153101	Pseudomonas fluorescens		0.5	s^(-1)
kcat	3.1.21.3	ATP	wildtype	15709738	Micrococcus luteus		4000.0	s^(-1)
kcat	3.1.21.3	dATP	wildtype	15709738	Micrococcus luteus		3600.0	s^(-1)
kcat	3.1.21.3	GTP	wildtype	15709738	Micrococcus luteus		1900.0	s^(-1)
kcat	3.1.21.3	UTP	wildtype	15709738	Micrococcus luteus		1700.0	s^(-1)
kcat	3.1.21.3	CTP	wildtype	15709738	Micrococcus luteus		1800.0	s^(-1)
kcat	3.1.21.3	ADP	wildtype	15709738	Micrococcus luteus		2100.0	s^(-1)
kcat	1.1.1.156	L-Glyceraldehyde	wildtype	16930134	Trichoderma reesei	Q0GYU4	18.0	s^(-1)
kcat	1.1.1.156	Dihydroxyacetone	wildtype	16930134	Trichoderma reesei	Q0GYU4	86.0	s^(-1)
kcat	1.1.1.156	NADPH	wildtype	16930134	Trichoderma reesei	Q0GYU4	86.0	s^(-1)
kcat	1.1.1.156	D-Glyceraldehyde	wildtype	16930134	Trichoderma reesei	Q0GYU4	7.5	s^(-1)
kcat	1.1.1.156	Dimethylglyoxal	wildtype	16930134	Trichoderma reesei	Q0GYU4	88.0	s^(-1)
kcat	1.1.1.156	Glyoxal	wildtype	16930134	Trichoderma reesei	Q0GYU4	9.2	s^(-1)
kcat	1.1.1.156	Methylglyoxal	wildtype	16930134	Trichoderma reesei	Q0GYU4	120.0	s^(-1)
kcat	1.1.1.156	Acetoin	wildtype	16930134	Trichoderma reesei	Q0GYU4	21.0	s^(-1)
kcat	1.1.1.156	NADP+	wildtype	16930134	Trichoderma reesei	Q0GYU4	56.0	s^(-1)
kcat	1.1.1.156	Glycerol	wildtype	16930134	Trichoderma reesei	Q0GYU4	56.0	s^(-1)
kcat	3.6.1.1	Diphosphate	wildtype	17635582	Synechocystis sp.	P80507	916.0	s^(-1)
kcat	3.6.1.1	Diphosphate	wildtype	17635582	Anabaena sp.	P80562	850.0	s^(-1)
kcat	3.6.1.1	Diphosphate	wildtype	17635582	Pseudanabaena sp.	P58733	850.0	s^(-1)
kcat	3.6.1.1	Diphosphate	wildtype	17635582	Rhodopseudomonas viridis	P82992	750.0	s^(-1)
kcat	3.6.1.1	Diphosphate	wildtype	17635582	Rhodospirillum rubrum	Q9RGQ1	750.0	s^(-1)
kcat	3.6.1.1	Diphosphate	wildtype	17635582	Rhodopseudomonas palustris		800.0	s^(-1)
kcat	3.6.1.1	Diphosphate	wildtype	16313235	Chlamydomonas reinhardtii	Q93Y52	314.6	s^(-1)
kcat	3.6.1.1	Diphosphate	wildtype	16313235	Chlamydomonas reinhardtii	Q949J1	334.6	s^(-1)
